fold,best_epoch,best_auc,final_accuracy,final_auc
1,7,0.7181818181818181,0.47619047619047616,0.609090909090909
2,106,0.5090909090909091,0.42857142857142855,0.5090909090909091
3,1,0.6818181818181819,0.42857142857142855,0.5636363636363637
4,27,0.6900000000000002,0.7,0.65
5,100,0.55,0.45,0.54
