method,n_datasets,avg_accuracy,std_accuracy,avg_macro_f1,std_macro_f1,avg_roc_auc,std_roc_auc
densenet121_3d,5,0.7325508362635114,0.06999486047842766,0.6437344518226872,0.13987705522537966,0.6887028447742733,0.07135465792074923
tabpfn,6,0.6177655819913871,0.12108608206331035,0.5747816273838594,0.15119379710382277,0.5862243377736452,0.14477001203485715
localpfn,3,0.4562629399585921,0.09808556897340658,0.4533216783216783,0.09409054527713288,0.4775252525252525,0.1281632207059429
vit3d,6,0.6245211406919561,0.09811003097463059,0.38242329462289293,0.040012062830060056,0.45332148010719436,0.17793792739738196
