fold,best_epoch,best_auc,final_accuracy,final_auc
1,3,0.609375,0.4375,0.578125
2,5,0.671875,0.4375,0.5
3,1,0.7678571428571428,0.4,0.2857142857142857
4,6,0.25,0.26666666666666666,0.1607142857142857
5,17,0.5178571428571428,0.5333333333333333,0.4107142857142857
