dataset,n_samples,k5_agreement,k5_chance,k5_adjusted,k5_pvalue
crlm,77,0.47792207792207786,0.5007589812784617,-0.04574324324324326,0.6793206793206793
desmoid,203,0.5251231527093596,0.5422359193380086,-0.03738337574215424,0.7442557442557443
gist,246,0.4959349593495935,0.5001321964439157,-0.008396694214876183,0.5254745254745254
lipo,115,0.5565217391304349,0.5000378071833649,0.11297640653357548,0.02097902097902098
liver,186,0.4591397849462366,0.5000578101514626,-0.08184551341350588,0.986013986013986
melanoma,103,0.4815533980582524,0.5000471297954567,-0.03699095022624445,0.6683316683316683
