dataset,n_samples,hsic,cka,p_value,significant
crlm,77,0.004264765125815593,0.06857739040154487,0.08299170082991701,False
desmoid,203,0.003019358515789567,0.05220277955032428,0.0011998800119988001,True
gist,246,0.0034294428034971143,0.0799568006208461,9.999000099990002e-05,True
lipo,115,0.001917101449123049,0.027482199438124928,0.3244675532446755,False
liver,186,0.00153973005039546,0.02252463346606716,0.15748425157484253,False
melanoma,103,0.002107689722496236,0.033184018296584336,0.3304669533046695,False
