dataset,pooling_strategy,accuracy,accuracy_std,macro_f1,macro_f1_std,roc_auc,roc_auc_std,n_samples,n_features_original,n_features_pca
crlm,avg,0.38916666666666666,0.10272671404156651,0.3695284729030859,0.10823096252629047,0.40267857142857144,0.11940274413145809,77,384,60
desmoid,avg,0.6557317073170731,0.057150250222859016,0.537177269668233,0.08505647983237165,0.6718986568986569,0.0683352824022326,203,384,161
gist,avg,0.5526530612244898,0.044457955278988076,0.5511209377169181,0.04408322670548915,0.59128,0.06614175215231129,246,384,195
lipo,avg,0.5826086956521739,0.044339300118198144,0.5765653118811013,0.04280814960275373,0.5984848484848484,0.08627720289398749,115,384,91
liver,avg,0.5590327169274538,0.05361806652353796,0.5479329340406481,0.04397463088922185,0.5752693136349645,0.06130690027524509,186,384,147
melanoma,avg,0.5995238095238095,0.13200357309807034,0.5914015822199966,0.13401401722278342,0.6579999999999999,0.17242499866692546,103,384,81
crlm,multiscale,0.625,0.08909264840602729,0.5803075143100719,0.13578673517708476,0.6263392857142858,0.09471863543125598,77,28032,60
desmoid,multiscale,0.7043902439024391,0.015836763981217472,0.6167447822143406,0.05672693226216679,0.6916280016280016,0.050124762326493745,203,28032,161
gist,multiscale,0.6177142857142857,0.036639877634478485,0.6158426159761563,0.03605251055768091,0.66944,0.04332357531157575,246,28032,195
lipo,multiscale,0.5565217391304348,0.08867860023639626,0.5473413060369582,0.09951132382223127,0.6128787878787879,0.09217552226821292,115,28032,91
liver,multiscale,0.5593172119487909,0.04814106358526096,0.5463144741437425,0.058780247897972586,0.5692982456140351,0.042989417425705514,186,28032,147
melanoma,multiscale,0.5157142857142857,0.07289914755527471,0.5091341661135711,0.07697464564212621,0.5641818181818181,0.08655309362772033,103,28032,81
crlm,percentile,0.5191666666666668,0.07735200923914862,0.5033683473389355,0.0885708915112071,0.5075892857142856,0.14268684045410604,77,1920,60
desmoid,percentile,0.6699999999999999,0.02416481185658699,0.5589892664909633,0.027789409573168476,0.7100468050468052,0.054405879538291575,203,1920,161
gist,percentile,0.637795918367347,0.05270688595182662,0.6366267414337324,0.05356072659102682,0.7129466666666666,0.07327519089023245,246,1920,195
lipo,percentile,0.6173913043478262,0.06389973242043073,0.602397711450343,0.06851454341703915,0.6507575757575758,0.1385431877648015,115,1920,91
liver,percentile,0.5910384068278804,0.07292179583485803,0.5883714515350096,0.07349698778110575,0.6223145583256386,0.10926640047741312,186,1920,147
melanoma,percentile,0.6014285714285714,0.11183483123990509,0.5942764894876889,0.11467542941843561,0.6585454545454545,0.13995111307019595,103,1920,81
