lesion_vol_frac,Rollout_mass,Rollout_concentration,Last Block (11)_mass,Last Block (11)_concentration,Block 0 (Early)_mass,Block 0 (Early)_concentration,Block 5 (Mid)_mass,Block 5 (Mid)_concentration,All-Block Avg_mass,All-Block Avg_concentration,entropy_block2_mean,entropy_block2_max,entropy_block5_mean,entropy_block5_max,entropy_block8_mean,entropy_block8_max,entropy_block11_mean,entropy_block11_max,dataset,case_id
0.006663799285888672,0.04093869259531857,6.143437010121317,0.023445432754101603,3.5183228913453166,0.00821637833269051,1.2329852161419999,0.01707359105546402,2.562136808389636,0.025681456906966105,3.853870332296174,5.815663814544678,5.950294494628906,5.773499488830566,6.012973785400391,5.22591495513916,5.661015510559082,5.952652931213379,6.147054672241211,CRLM,CRLM-001_CT
0.003509044647216797,0.02168803111840134,6.1805908709923285,0.01036346581571479,2.953349792923448,0.004016530822241293,1.1446190572800001,0.009210018767475958,2.624643869476605,0.014174985009844931,4.039545243642132,5.903040885925293,6.008129119873047,5.823497295379639,6.0944013595581055,5.245455741882324,5.729201793670654,6.043742656707764,6.199589729309082,CRLM,CRLM-002_CT
0.004902839660644531,0.029701446402782494,6.057996564976852,0.015142733694176513,3.0885576230754426,0.0060464463491882725,1.233251428801389,0.011627720300339206,2.3716248926977337,0.01948915014679642,3.975065828193142,5.885324478149414,6.060825347900391,5.808249473571777,6.083856582641602,5.226790904998779,5.650657653808594,5.980987071990967,6.163876533508301,CRLM,CRLM-003_CT
0.022266864776611328,0.0800535302983576,3.5951848250587997,0.06049738416265882,2.71692299748342,0.026024740766729337,1.168764859362536,0.03885320690361027,1.7448881934891414,0.05471571276461873,2.457269523161418,6.055278778076172,6.140292167663574,6.039904594421387,6.163337707519531,5.541773796081543,5.952463150024414,5.994509696960449,6.160395622253418,CRLM,CRLM-004_CT
0.0015339851379394531,0.008613614052819685,5.615150817485619,0.005588571816474541,3.643148324434339,0.0016105833439326034,1.0499272807970095,0.004793285990160712,3.1247074202590484,0.005461670394993234,3.560422233364867,6.037563323974609,6.194089412689209,5.9352312088012695,6.0476179122924805,5.489648818969727,5.8459954261779785,5.976640701293945,6.1226348876953125,CRLM,CRLM-005_CT
0.00042247772216796875,0.0030548539302799327,7.230633625526784,0.0015000246924046223,3.5504574776927043,0.0004756350581374136,1.1257961668015408,0.001034199519779122,2.4478806495776806,0.0018758779948484516,4.440076945248263,6.055995464324951,6.174819469451904,5.987621784210205,6.072802543640137,5.6285505294799805,5.981254577636719,5.919900417327881,6.081608295440674,CRLM,CRLM-006_CT
0.010966300964355469,0.0595527617871312,5.430519158238309,0.04483208162673691,4.088164358320461,0.017246573502831097,1.5726868915981669,0.026269400939384013,2.3954638004310835,0.039210412998045285,3.575533570541042,5.797347068786621,5.998680114746094,5.696319580078125,6.025785446166992,5.382169723510742,5.733304977416992,5.851365089416504,6.116751670837402,CRLM,CRLM-007_CT
0.0036649703979492188,0.02377824541838436,6.487959780546096,0.012551123682442267,3.4246086798896362,0.004149342644609533,1.1321595736040893,0.010655074971737122,2.9072665648360054,0.014573913287108553,3.976532397080091,5.886386871337891,6.044890880584717,5.964982509613037,6.173495292663574,5.3013081550598145,5.660265922546387,6.008983612060547,6.175843715667725,CRLM,CRLM-008_CT
0.005761623382568359,0.03177619611699356,5.5151367688772845,0.021509724966392696,3.733268595580846,0.008497020423732238,1.4747589545422495,0.014134770449061307,2.453257524476585,0.020962303918054204,3.6382571618449373,5.856739044189453,6.039103031158447,5.701319217681885,6.034879684448242,5.427650451660156,5.792609691619873,5.907797813415527,6.146866798400879,CRLM,CRLM-009_CT
0.0004405975341796875,0.0020816984740577027,4.724609346350282,0.001567306667993762,3.5571490417469502,0.0003867716048091552,0.8778143240996485,0.0024456688431655493,5.550674133883881,0.0016295682072495765,3.698457427160131,5.971245288848877,6.1998748779296875,6.014681816101074,6.101775169372559,5.809136390686035,6.063014984130859,5.993973255157471,6.136281967163086,CRLM,CRLM-010_CT
0.0014986991882324219,0.00990418163587492,6.608474621788311,0.004235820454027817,2.8263124609408345,0.0017127539342141063,1.1428193992952889,0.004763137762324732,3.17816011253149,0.006061665789047765,4.04459106319145,5.865836143493652,6.026150703430176,5.854762077331543,5.983808517456055,5.463855743408203,5.853154182434082,6.002328872680664,6.165229797363281,CRLM,CRLM-011_CT
0.0006542205810546875,0.004929365979933209,7.53460037283271,0.0022499563472138107,3.439087704501137,0.0007151348315233008,1.0930929434243648,0.0047276844429688936,7.226327505735632,0.003463609712980542,5.294172747774713,5.908317565917969,6.180477142333984,5.924981117248535,6.064401149749756,5.603918075561523,6.01603889465332,5.953991413116455,6.128513336181641,CRLM,CRLM-012_CT
0.000522613525390625,0.002831591458971161,5.418032907827373,0.002166071759006627,4.144612046286355,0.0005139440768573422,0.9833925414536295,0.0015172109689274293,2.9030667300968105,0.0020381864394494187,3.8999133036080127,6.0702805519104,6.192162036895752,6.0830488204956055,6.1721296310424805,5.785267353057861,6.02849006652832,5.939715385437012,6.119428634643555,CRLM,CRLM-013_CT
0.0004677772521972656,0.0020561405286798617,4.395460797663611,0.0012503761786319956,2.672959070087512,0.0004352228925483814,0.9303863893342014,0.0011212144091246046,2.3968468654459807,0.0014339600968469313,3.0654108039742627,6.142157077789307,6.213597297668457,5.99773645401001,6.135336875915527,5.567225456237793,5.905561447143555,6.015804767608643,6.175452709197998,CRLM,CRLM-014_CT
0.020313262939453125,0.0653117714910536,3.21522640323524,0.05472623926442566,2.6941123386440844,0.023785946645602962,1.1709558925585593,0.037945907006985635,1.8680351078868147,0.046244647529931626,2.276572941631366,6.102288246154785,6.184110641479492,6.024804592132568,6.189261436462402,5.459967613220215,5.966505527496338,5.906087875366211,6.163864612579346,CRLM,CRLM-015_CT
0.0022497177124023438,0.01250250323982982,5.557340637671738,0.008864071311563748,3.9400640631742765,0.0025829446478269347,1.14811434005441,0.005146968817768993,2.2878185610617146,0.008500911205146622,3.7786400364286883,6.0528059005737305,6.165587902069092,6.044592380523682,6.132979393005371,5.763287544250488,6.091002464294434,5.989310264587402,6.16127872467041,CRLM,CRLM-016_CT
0.0070056915283203125,0.04980398417308152,7.109064520055641,0.03424075462851306,4.8875554418206315,0.009461977998086013,1.3506110644075096,0.023241993512613135,3.317582603063827,0.030143947964688778,4.30277365412056,5.81126070022583,5.982163906097412,5.848174095153809,6.068016052246094,5.305951118469238,5.642317771911621,5.867269992828369,6.133142948150635,CRLM,CRLM-017_CT
0.0010018348693847656,0.005268871504313211,5.259169024390805,0.0033250733979457436,3.318950368022223,0.001049420684779534,1.0474882058576442,0.0034034382663321594,3.3971709296891603,0.0036483903444377574,3.6416719353748244,6.049908638000488,6.174071311950684,6.006543159484863,6.105257987976074,5.6619553565979,5.9597649574279785,6.002583980560303,6.173610687255859,CRLM,CRLM-018_CT
0.004471778869628906,0.024873062324104467,5.562217503835008,0.017255820801892696,3.85881831744992,0.005369608728074127,1.2007742057195394,0.011381735255724834,2.5452309103916515,0.016912106698100615,3.7819555419896367,5.927102565765381,6.068366050720215,5.925540447235107,6.086606502532959,5.627182960510254,5.9982805252075195,5.970609664916992,6.15825080871582,CRLM,CRLM-019_CT
0.018616199493408203,0.07276869815001419,3.908889088070307,0.056199001154652706,3.01882083861122,0.020850964810051664,1.1200435199998562,0.03686128355542451,1.980063856096843,0.049664111710399084,2.6677886133578697,5.765972137451172,6.045450210571289,5.769209384918213,6.004316806793213,5.322782516479492,5.708446502685547,5.825403213500977,6.105141639709473,CRLM,CRLM-020_CT
0.0014748573303222656,0.006978473022400067,4.731593736553401,0.004754732494234304,3.22383742352973,0.001950282586449248,1.3223444213271045,0.0055383879406463166,3.7551770432369347,0.005171327109792401,3.5062998572640707,6.128304481506348,6.218740463256836,6.086381435394287,6.1570329666137695,5.871759414672852,6.115715503692627,6.06097412109375,6.190874099731445,CRLM,CRLM-021_CT
0.007770538330078125,0.031085895657099627,4.000476457597309,0.024634915700403326,3.1702930930944544,0.01015867346717414,1.3073303241486955,0.013951565543834477,1.7954415764754927,0.021450826618945484,2.7605293356086515,5.99626350402832,6.137777328491211,6.037023544311523,6.154443740844727,5.76864767074585,6.091859817504883,6.018896102905273,6.170970439910889,CRLM,CRLM-022_CT
0.0031862258911132812,0.023663101464308056,7.4266633962371476,0.01146012841212496,3.5967608186475966,0.003967822784318287,1.2453010134575806,0.009949350435249471,3.122603214344289,0.014568580323498281,4.572348319887882,5.848881244659424,6.041159152984619,5.711812973022461,5.90571928024292,5.256041526794434,5.684401512145996,5.925812721252441,6.140419006347656,CRLM,CRLM-023_CT
0.0011668205261230469,0.01185469228812508,10.159737873428721,0.004813400874695617,4.125192791012073,0.0015957026222395143,1.3675530306371513,0.003371565846464364,2.8895077485389846,0.006167758586457239,5.285907806123702,5.825301170349121,5.950942039489746,5.944399833679199,6.114136695861816,5.233335494995117,5.576454162597656,5.995123386383057,6.151247024536133,CRLM,CRLM-024_CT
