dataset,accuracy_baseline,macro_f1_baseline,roc_auc_baseline,accuracy_filtered,macro_f1_filtered,roc_auc_filtered,accuracy_roi,macro_f1_roi,roc_auc_roi,accuracy_delta_filtered,macro_f1_delta_filtered,roc_auc_delta_filtered,accuracy_delta_roi,macro_f1_delta_roi,roc_auc_delta_roi
crlm,0.5083333333333333,0.4637328426647312,0.4883928571428571,,,,0.5083333333333333,0.4637328426647312,0.4883928571428571,,,,0.0,0.0,0.0
desmoid,0.6992682926829269,0.6206697292701223,0.6656817256817258,0.7114285714285714,0.4145734265734265,0.5113636363636364,0.6992682926829269,0.6206697292701223,0.6656817256817258,0.012160278745644515,-0.20609630269669582,-0.15431808931808944,0.0,0.0,0.0
gist,0.6133061224489795,0.6124988692118088,0.65252,0.6393939393939394,0.6044942738420999,0.7683760683760684,0.6133061224489795,0.6124988692118088,0.65252,0.026087816944959874,-0.008004595369708989,0.11585606837606843,0.0,0.0,0.0
lipo,0.5043478260869565,0.4970001089680724,0.4818181818181817,0.4698529411764706,0.3881567225045486,0.3373015873015873,0.5043478260869565,0.4970001089680724,0.4818181818181817,-0.03449488491048591,-0.10884338646352382,-0.14451659451659438,0.0,0.0,0.0
liver,0.596728307254623,0.5927163811609366,0.6079101261926747,0.6666666666666666,0.3995604395604396,0.5222222222222221,0.596728307254623,0.5927163811609366,0.6079101261926747,0.06993835941204363,-0.19315594160049704,-0.08568790397045256,0.0,0.0,0.0
melanoma,0.4947619047619047,0.4850983233873259,0.5321818181818181,0.7333333333333333,0.6666666666666667,0.8,0.4947619047619047,0.4850983233873259,0.5321818181818181,0.2385714285714286,0.18156834327934085,0.26781818181818196,0.0,0.0,0.0
