dataset,accuracy_baseline,macro_f1_baseline,roc_auc_baseline,accuracy_filtered,macro_f1_filtered,roc_auc_filtered,accuracy_roi,macro_f1_roi,roc_auc_roi,accuracy_delta_filtered,macro_f1_delta_filtered,roc_auc_delta_filtered,accuracy_delta_roi,macro_f1_delta_roi,roc_auc_delta_roi
crlm,0.4808333333333333,0.4369209007366901,0.4544642857142856,,,,0.5083333333333333,0.4637328426647312,0.4910714285714285,,,,0.027500000000000024,0.026811941928041094,0.036607142857142894
desmoid,0.6795121951219512,0.5017584206728943,0.6447110297110298,0.74,0.4251794871794871,0.5148484848484849,0.6943902439024391,0.6126373263838604,0.6585551485551485,0.060487804878048834,-0.07657893349340722,-0.1298625448625449,0.014878048780487929,0.11087890571096604,0.013844118844118736
gist,0.5528163265306122,0.5369374150728391,0.59582,0.574025974025974,0.3812375859434683,0.5631054131054132,0.6173877551020408,0.6166080720525865,0.6540600000000001,0.021209647495361805,-0.1556998291293708,-0.03271458689458684,0.06457142857142861,0.0796706569797474,0.05824000000000007
lipo,0.5043478260869565,0.4970001089680724,0.4810606060606061,0.4698529411764706,0.3881567225045486,0.3373015873015873,0.5043478260869565,0.4965531095737045,0.4659090909090909,-0.03449488491048591,-0.10884338646352382,-0.14375901875901875,0.0,-0.00044699939436787517,-0.015151515151515194
liver,0.6453769559032717,0.6436003980767253,0.6794090489381348,0.6666666666666666,0.3995604395604396,0.5577777777777777,0.596728307254623,0.5916604128108865,0.6054170514004309,0.02128971076339492,-0.24403995851628574,-0.1216312711603571,-0.04864864864864871,-0.05193998526583876,-0.07399199753770391
melanoma,0.3971428571428571,0.3835907792421455,0.3898181818181818,0.5333333333333333,0.4666666666666666,0.3,0.4757142857142857,0.4615943012656568,0.5258181818181817,0.13619047619047625,0.0830758874245211,-0.0898181818181818,0.07857142857142863,0.0780035220235113,0.13599999999999995
