dataset,accuracy_baseline,macro_f1_baseline,roc_auc_baseline,accuracy_filtered,macro_f1_filtered,roc_auc_filtered,accuracy_roi,macro_f1_roi,roc_auc_roi,accuracy_delta_filtered,macro_f1_delta_filtered,roc_auc_delta_filtered,accuracy_delta_roi,macro_f1_delta_roi,roc_auc_delta_roi
crlm,0.5083333333333333,0.4637328426647312,0.4910714285714285,,,,0.5083333333333333,0.4637328426647312,0.4910714285714285,,,,0.0,0.0,0.0
desmoid,0.6943902439024391,0.6126373263838604,0.6585551485551485,0.7114285714285714,0.4145734265734265,0.5033333333333334,0.6943902439024391,0.6126373263838604,0.6585551485551485,0.0170383275261323,-0.1980638998104338,-0.1552218152218151,0.0,0.0,0.0
gist,0.6093061224489796,0.60700533273866,0.6537333333333334,0.6484848484848484,0.6141529047506321,0.762962962962963,0.6093061224489796,0.60700533273866,0.6537333333333334,0.0391787260358688,0.0071475720119721,0.1092296296296295,0.0,0.0,0.0
lipo,0.5043478260869565,0.4965531095737045,0.4659090909090909,0.4713235294117647,0.4011904761904762,0.3631944444444444,0.5043478260869565,0.4965531095737045,0.4659090909090909,-0.0330242966751918,-0.0953626333832283,-0.1027146464646465,0.0,0.0,0.0
liver,0.596728307254623,0.5916604128108865,0.6054170514004309,0.6666666666666666,0.3995604395604396,0.5111111111111112,0.596728307254623,0.5916604128108865,0.6054170514004309,0.0699383594120436,-0.1920999732504469,-0.0943059402893197,0.0,0.0,0.0
melanoma,0.4757142857142857,0.4615943012656568,0.5258181818181817,0.6333333333333333,0.5333333333333334,0.8,0.4757142857142857,0.4615943012656568,0.5258181818181817,0.1576190476190476,0.0717390320676766,0.2741818181818183,0.0,0.0,0.0
