dataset,accuracy_baseline,macro_f1_baseline,roc_auc_baseline,accuracy_filtered,macro_f1_filtered,roc_auc_filtered,accuracy_roi,macro_f1_roi,roc_auc_roi,accuracy_delta_filtered,macro_f1_delta_filtered,roc_auc_delta_filtered,accuracy_delta_roi,macro_f1_delta_roi,roc_auc_delta_roi
crlm,0.5083333333333333,0.4637328426647312,0.4941964285714285,,,,0.5083333333333333,0.4637328426647312,0.4883928571428571,,,,0.0,0.0,-0.005803571428571408
desmoid,0.6943902439024391,0.6126373263838604,0.6585551485551485,0.7114285714285714,0.4145734265734265,0.5033333333333334,0.6992682926829269,0.6206697292701223,0.6656817256817258,0.017038327526132324,-0.19806389981043387,-0.1552218152218151,0.004878048780487809,0.008032402886261947,0.0071265771265772715
gist,0.6093061224489796,0.60700533273866,0.6535733333333333,0.6484848484848484,0.6141529047506321,0.762962962962963,0.6133061224489795,0.6124988692118088,0.65252,0.039178726035868805,0.007147572011972136,0.10938962962962961,0.0039999999999998925,0.0054935364731488745,-0.0010533333333333506
lipo,0.5043478260869565,0.4965531095737045,0.4651515151515151,0.4713235294117647,0.4011904761904762,0.3631944444444444,0.5043478260869565,0.4970001089680724,0.4818181818181817,-0.0330242966751918,-0.09536263338322831,-0.10195707070707072,0.0,0.00044699939436787517,0.016666666666666607
liver,0.6021337126600285,0.5964848332016985,0.6048630347799323,0.6666666666666666,0.3995604395604396,0.5111111111111112,0.596728307254623,0.5927163811609366,0.6079101261926747,0.06453295400663817,-0.19692439364125897,-0.09375192366882112,-0.005405405405405461,-0.003768452040761927,0.0030470914127423976
melanoma,0.4752380952380952,0.4592292710430414,0.5249090909090908,0.6333333333333333,0.5333333333333334,0.8,0.4947619047619047,0.4850983233873259,0.5321818181818181,0.15809523809523812,0.07410406229029204,0.2750909090909093,0.0195238095238095,0.025869052344284493,0.0072727272727273196
