dataset,accuracy_baseline,macro_f1_baseline,roc_auc_baseline,accuracy_filtered,macro_f1_filtered,roc_auc_filtered,accuracy_roi,macro_f1_roi,roc_auc_roi,accuracy_delta_filtered,macro_f1_delta_filtered,roc_auc_delta_filtered,accuracy_delta_roi,macro_f1_delta_roi,roc_auc_delta_roi
crlm,0.5083333333333333,0.4637328426647312,0.4910714285714285,,,,0.5083333333333333,0.4637328426647312,0.4910714285714285,,,,0.0,0.0,0.0
desmoid,0.6943902439024391,0.6126373263838604,0.6585551485551485,0.7114285714285714,0.4145734265734265,0.5033333333333334,0.6943902439024391,0.6126373263838604,0.6585551485551485,0.017038327526132324,-0.19806389981043387,-0.1552218152218151,0.0,0.0,0.0
gist,0.6093061224489796,0.60700533273866,0.6537333333333334,0.6484848484848484,0.6141529047506321,0.762962962962963,0.6093061224489796,0.60700533273866,0.6537333333333334,0.039178726035868805,0.007147572011972136,0.10922962962962957,0.0,0.0,0.0
lipo,0.5043478260869565,0.4965531095737045,0.4659090909090909,0.4713235294117647,0.4011904761904762,0.3631944444444444,0.5043478260869565,0.4965531095737045,0.4659090909090909,-0.0330242966751918,-0.09536263338322831,-0.10271464646464651,0.0,0.0,0.0
liver,0.596728307254623,0.5916604128108865,0.6054170514004309,0.6666666666666666,0.3995604395604396,0.5111111111111112,0.596728307254623,0.5916604128108865,0.6054170514004309,0.06993835941204363,-0.19209997325044698,-0.09430594028931971,0.0,0.0,0.0
melanoma,0.4757142857142857,0.4615943012656568,0.5258181818181817,0.6333333333333333,0.5333333333333334,0.8,0.4757142857142857,0.4615943012656568,0.5258181818181817,0.1576190476190476,0.07173903206767662,0.2741818181818183,0.0,0.0,0.0
