dataset,category,ct_name,method,accuracy,macro_f1,roc_auc,out_dir,metrics_path,pred_path,error
gist,gist,ct_GIST,tabpfn,0.62,0.6198479391756703,0.7487999999999999,C:\Users\cahel\Desktop\Med3Tab-PFN\tabpfn_runs\gist_ct_GIST_20251021_142419,C:\Users\cahel\Desktop\Med3Tab-PFN\tabpfn_runs\gist_ct_GIST_20251021_142419\tabpfn_metrics.json,C:\Users\cahel\Desktop\Med3Tab-PFN\tabpfn_runs\gist_ct_GIST_20251021_142419\tabpfn_val_predictions.csv,
lipo,lipo,ct_LIPO,tabpfn,0.7391304347826086,0.7386363636363636,0.7878787878787878,C:\Users\cahel\Desktop\Med3Tab-PFN\tabpfn_runs\lipo_ct_LIPO_20251021_143504,C:\Users\cahel\Desktop\Med3Tab-PFN\tabpfn_runs\lipo_ct_LIPO_20251021_143504\tabpfn_metrics.json,C:\Users\cahel\Desktop\Med3Tab-PFN\tabpfn_runs\lipo_ct_LIPO_20251021_143504\tabpfn_val_predictions.csv,
