method,n_datasets,avg_accuracy,std_accuracy,avg_macro_f1,std_macro_f1,avg_roc_auc,std_roc_auc
densenet121_3d,6,0.7599218544766129,0.05718640407435386,0.7500867361296514,0.05924280591482637,0.7312198677292238,0.08608657132163602
localpfn,3,0.6153033313106667,0.049010676482949024,0.570078520660043,0.06227763534695274,0.6389693942082677,0.03614417121220652
tabpfn,6,0.5627761422390825,0.08199237378029398,0.5369103078095362,0.07042126376221639,0.5665129279868245,0.08344397044356265
vit3d,6,0.5924846783312068,0.05109592567195638,0.5077490570574269,0.0523045914985643,0.553344548329052,0.07615398244605914
