fold,best_epoch,best_auc,final_accuracy,final_auc
1,23,0.46212121212121215,0.391304347826087,0.38636363636363635
2,143,0.6818181818181819,0.6086956521739131,0.6818181818181819
3,5,0.5151515151515151,0.391304347826087,0.3560606060606061
4,2,0.6060606060606061,0.391304347826087,0.3787878787878788
5,141,0.5681818181818182,0.6086956521739131,0.5606060606060607
