fold,best_epoch,best_auc,final_accuracy,final_auc
1,2,0.523545706371191,0.5526315789473685,0.48753462603878117
2,2,0.6023391812865497,0.5405405405405406,0.5526315789473685
3,9,0.5935672514619883,0.6216216216216216,0.5935672514619883
4,3,0.8333333333333333,0.7837837837837838,0.7923976608187134
5,185,0.5233918128654971,0.5675675675675675,0.5233918128654971
