method,n_datasets,avg_accuracy,std_accuracy,avg_macro_f1,std_macro_f1,avg_roc_auc,std_roc_auc
densenet121_3d,3,0.7508695652173913,0.03131340448701017,0.714525629599159,0.031372468868233964,0.7140331890331891,0.04121037236943208
tabpfn,3,0.5964130434782609,0.08409047191518622,0.594284095010947,0.08519585542517445,0.6300545454545455,0.005784761972145491
vit3d,3,0.572391304347826,0.11545647876023532,0.3616359274254011,0.0488299811307047,0.532972582972583,0.23075538031674034
localpfn,2,0.4701086956521739,0.13450400729091933,0.46634615384615385,0.12918296963985004,0.4981060606060606,0.1740982605194151
