iter	Passed	Remaining
399	72452	34777
400	72658	34607
401	72853	34433
402	73048	34258
403	73252	34087
404	73454	33915
405	73669	33749
406	73875	33579
407	74087	33411
408	74288	33239
409	74498	33070
410	74730	32910
411	74971	32754
412	75173	32581
413	75371	32406
414	75573	32232
415	75773	32058
416	75977	31885
417	76173	31708
418	76376	31535
419	76573	31358
420	76760	31178
421	76974	31008
422	77175	30833
423	77362	30653
424	77591	30489
425	77791	30313
426	78001	30140
427	78196	29962
428	78374	29778
429	78555	29595
430	78744	29415
431	78938	29236
432	79130	29057
433	79323	28878
434	79521	28700
435	79738	28530
436	79930	28350
437	80133	28174
438	80332	27997
439	80529	27819
440	80728	27641
441	80931	27465
442	81126	27286
443	81326	27108
444	81515	26927
445	81699	26744
446	81902	26567
447	82101	26389
448	82305	26213
449	82499	26033
450	82697	25854
451	82893	25675
452	83092	25496
453	83281	25314
454	83464	25131
455	83644	24946
456	83839	24766
457	84042	24588
458	84264	24416
459	84455	24234
460	84642	24052
461	84818	23866
462	85012	23685
463	85220	23509
464	85508	23353
465	85726	23179
466	85939	23003
467	86131	22821
468	86342	22644
469	86541	22463
470	86747	22285
471	86959	22108
472	87170	21930
473	87366	21749
474	87556	21566
475	87736	21381
476	87922	21197
477	88131	21018
478	88313	20833
479	88481	20645
480	88678	20464
481	88866	20280
482	89046	20095
483	89216	19907
484	89390	19721
485	89561	19533
486	89737	19347
487	89952	19170
488	90189	18996
489	90380	18813
490	90584	18633
491	90794	18454
492	91028	18279
493	91224	18097
494	91413	17913
495	91597	17728
496	91780	17543
497	91960	17357
498	92132	17170
499	92298	16982
500	92486	16798
501	92721	16623
502	92957	16447
503	93184	16270
504	93416	16093
505	93649	15916
506	93919	15745
507	94191	15575
508	94370	15388
509	94544	15201
510	94741	15017
511	94933	14833
512	95113	14647
513	95309	14463
514	95493	14277
515	95680	14092
516	95866	13907
517	96115	13730
518	96384	13556
519	96692	13388
520	96953	13212
521	97207	13035
522	97450	12856
523	97694	12677
524	97966	12502
525	98247	12327
526	98481	12146
527	98722	11966
528	98949	11784
529	99178	11602
530	99409	11419
531	99616	11234
532	99798	11047
533	99985	10859
534	100174	10672
535	100380	10487
536	100571	10300
537	100737	10111
538	100924	9923
539	101120	9737
540	101309	9550
541	101487	9362
542	101682	9175
543	101867	8988
544	102044	8800
545	102228	8612
546	102416	8425
547	102599	8237
548	102868	8057
549	103055	7869
550	103243	7682
551	103440	7495
552	103637	7309
553	103818	7121
554	103997	6933
555	104179	6745
556	104362	6557
557	104554	6370
558	104737	6183
559	104920	5995
560	105115	5808
561	105304	5621
562	105512	5434
563	105732	5249
564	105918	5061
565	106102	4873
566	106286	4686
567	106475	4498
568	106660	4311
569	106852	4124
570	107041	3936
571	107234	3749
572	107423	3562
573	107609	3374
574	107792	3186
575	107980	2999
576	108158	2811
577	108351	2624
578	108541	2437
579	108734	2249
580	108922	2062
581	109106	1874
582	109291	1687
583	109472	1499
584	109658	1312
585	109854	1124
586	110026	937
587	110209	749
588	110397	562
589	110584	374
590	110768	187
591	110956	0
