dataset,category,ct_name,method,accuracy,macro_f1,roc_auc,out_dir,metrics_path,pred_path,error
gist,gist,ct_GIST,localpfn,0.66,0.6598639455782312,0.6896,C:\Users\cahel\Desktop\Med3Tab-PFN\notebooks\tabpfn_runs\local_gist_ct_GIST_20251015_154611,C:\Users\cahel\Desktop\Med3Tab-PFN\notebooks\tabpfn_runs\local_gist_ct_GIST_20251015_154611\localpfn_metrics.json,C:\Users\cahel\Desktop\Med3Tab-PFN\notebooks\tabpfn_runs\local_gist_ct_GIST_20251015_154611\localpfn_val_predictions.csv,
lipo,lipo,ct_LIPO,localpfn,,,,,,,"all input arrays must have the same shape
Traceback (most recent call last):
  File ""C:\Users\cahel\Desktop\Med3Tab-PFN\med3pipe\pipelines\multi_dataset.py"", line 210, in _run_multi_core
    res = run_single_dataset(
  File ""C:\Users\cahel\Desktop\Med3Tab-PFN\med3pipe\pipelines\end_to_end.py"", line 226, in run_single_dataset
    local_res = localpfn_pipeline(
ValueError: all input arrays must have the same shape
"
