fold,best_epoch,best_auc,final_accuracy,final_auc
1,3,0.8416,0.74,0.792
2,70,0.7033333333333334,0.6326530612244898,0.7016666666666667
3,100,0.6833333333333333,0.6122448979591837,0.68
4,1,0.6633333333333333,0.5306122448979592,0.6083333333333334
5,120,0.6883333333333334,0.6530612244897959,0.6849999999999999
