dataset,category,n_splits,mean_best_auc,std_best_auc,mean_final_auc,std_final_auc,mean_accuracy,std_accuracy,output_dir
crlm,crlm,5,0.5633928571428571,0.17662217363453478,0.38705357142857133,0.14921403354283555,0.4149999999999999,0.08630533651583262,/trinity/home/r112276/Med3Tab-PFN/results/classification_head_roi/crlm_roi_m30_s128
desmoid,desmoid,5,0.7091249491249492,0.0439992808049619,0.6801912901912901,0.049826428036352156,0.6653658536585365,0.06388125696224786,/trinity/home/r112276/Med3Tab-PFN/results/classification_head_roi/desmoid_roi_m30_s128
gist,gist,5,0.7159866666666665,0.06409701535779788,0.6934,0.058782234655643285,0.6337142857142857,0.06747302976700535,/trinity/home/r112276/Med3Tab-PFN/results/classification_head_roi/gist_roi_m30_s128
lipo,lipo,5,0.5666666666666667,0.07536260676027812,0.4727272727272728,0.1275430030650604,0.4782608695652174,0.10649955403405123,/trinity/home/r112276/Med3Tab-PFN/results/classification_head_roi/lipo_roi_m30_s128
liver,liver,5,0.6152354570637119,0.11405680519627329,0.5899045860264696,0.10706044574451616,0.6132290184921764,0.08966604302389641,/trinity/home/r112276/Med3Tab-PFN/results/classification_head_roi/liver_roi_m30_s128
melanoma,melanoma,5,0.6298181818181818,0.08376156636548769,0.5743636363636364,0.04996660041492507,0.4966666666666667,0.10316532314797815,/trinity/home/r112276/Med3Tab-PFN/results/classification_head_roi/melanoma_roi_m30_s128
