fold,best_epoch,best_auc,final_accuracy,final_auc
1,128,0.6613756613756614,0.6585365853658537,0.656084656084656
2,4,0.7384615384615385,0.5853658536585366,0.6282051282051282
3,32,0.6897435897435897,0.6829268292682927,0.6743589743589744
4,103,0.6758241758241758,0.625,0.6675824175824177
5,117,0.7802197802197802,0.775,0.7747252747252747
