Model,Features,Accuracy,Macro F1,Macro Precision,Macro Recall,ROC-AUC,Fit Time (s)
TabPFN,PCA-246,0.5769230769230769,0.5751774220168344,0.5842391304347826,0.5817402768622281,0.5603164139749506,2.375887155532837
DecisionTree (CART),PCA-246,0.5769230769230769,0.5648351648351648,0.6018518518518519,0.587013843111404,0.587013843111404,0.06678080558776855
RandomForest,PCA-246,0.5512820512820513,0.5506172839506172,0.5554812834224598,0.554713249835201,0.53955174686882,2.5243680477142334
CatBoost,PCA-246,0.5256410256410257,0.5236837762006933,0.5238095238095238,0.523731048121292,0.5550428477257745,26.120498418807983
XGBoost,PCA-246,0.5128205128205128,0.5128205128205128,0.5141727092946605,0.5141727092946605,0.5728411338167435,4.143755912780762
LightGBM,PCA-246,0.48717948717948717,0.38339920948616607,0.42028985507246375,0.46736980883322343,0.5313117996044826,0.8209571838378906
ExtraTrees,PCA-246,0.46153846153846156,0.4484848484848485,0.46641509433962264,0.4706657877389585,0.548121292023731,1.8269572257995605
